id,blh
ABZ-2013-03-06,76.20963725
ABZ-2013-03-07,106.955005375
ABZ-2013-03-08,134.539908125
ABZ-2013-03-09,76.91001
ABZ-2013-03-10,309.726946875
ABZ-2013-03-11,420.96444875
ABZ-2013-03-12,437.796995
ABZ-2013-03-13,370.281477
ABZ-2013-03-14,319.71637225
ABZ-2013-03-15,452.103687875
ABZ-2013-03-16,342.72071362500003
ABZ-2013-03-17,485.4562675
ABZ-2013-03-18,255.43743375
ABZ-2013-03-19,609.19394375
ABZ-2013-03-20,366.96111499999995
ABZ-2013-03-21,589.1859825
ABZ-2013-03-22,433.97738
ABZ-2013-03-23,605.5948525
ABZ-2013-03-24,667.62225125
ABZ-2013-03-25,784.77560125
ABZ-2013-03-26,782.4107375
ABZ-2013-03-27,657.85193625
ABZ-2013-03-28,462.29774249999997
ABZ-2013-03-29,546.943036625
ABZ-2013-03-30,354.525068625
ABZ-2013-03-31,459.12869625
ABZ-2013-04-01,487.3776545
ABZ-2013-04-02,538.59046625
ABZ-2013-04-03,623.87644
ABZ-2013-04-04,432.4692825
ABZ-2013-04-05,383.01654874999997
ABZ-2013-04-06,345.031785
ABZ-2013-04-07,483.696834875
ABZ-2013-04-08,448.375900625
ABZ-2013-04-09,380.71578725
ABZ-2013-04-10,484.69938875
ABZ-2013-04-11,476.35646875
ABZ-2013-04-12,582.95712875
ABZ-2013-04-13,817.25229425
ABZ-2013-04-14,343.33053575
ABZ-2013-04-15,288.265389375
ABZ-2013-04-16,265.96780225
ABZ-2013-04-17,438.5364765
ABZ-2013-04-18,638.28019625
ABZ-2013-04-19,740.824118125
ABZ-2013-04-20,687.2656675000001
ABZ-2013-04-21,524.7786025
ABZ-2013-04-22,329.4420995
ABZ-2013-04-23,696.3308416250001
ABZ-2013-04-24,569.80138325
ABZ-2013-04-25,592.593888125
ABZ-2013-04-26,827.3319594999999
ABZ-2013-04-27,307.060135
ABZ-2013-04-28,466.9708
ABZ-2013-04-29,485.35424625
ABZ-2013-04-30,397.82079350000004
ABZ-2013-05-01,453.8295725
ABZ-2013-05-02,299.661815875
ABZ-2013-05-03,437.67401625
ABZ-2013-05-04,260.728125375
ABZ-2013-05-05,484.39139650000004
ABZ-2013-05-06,503.93810775
ABZ-2013-05-07,368.84296075000003
ABZ-2013-05-08,442.494830875
ABZ-2013-05-09,447.014857875
ABZ-2013-05-10,474.082676625
ABZ-2013-05-11,323.96212325
ABZ-2013-05-12,793.12191375
ABZ-2013-05-13,730.5024225
ABZ-2013-05-14,857.54212625
ABZ-2013-05-15,597.643545625
ABZ-2013-05-16,686.23411075
ABZ-2013-05-17,578.10758
ABZ-2013-05-18,499.504930875
ABZ-2013-05-19,481.62831075
ABZ-2013-05-20,851.65601
ABZ-2013-05-21,819.7604275
ABZ-2013-05-22,710.54867
ABZ-2013-05-23,885.23840375
ABZ-2013-05-24,486.0980325
ABZ-2013-05-25,676.11655375
ABZ-2013-05-26,601.645225
ABZ-2013-05-27,425.31207875
ABZ-2013-05-28,449.433819875
ABZ-2013-05-29,449.794252
ABZ-2013-05-30,442.7613525
ABZ-2013-05-31,353.456901625
ABZ-2013-06-01,466.73012825
ABZ-2013-06-02,737.67780125
ABZ-2013-06-03,595.83904375
ABZ-2013-06-04,402.07555625
ABZ-2013-06-05,530.097147875
ABZ-2013-06-06,451.71162725
ABZ-2013-06-07,397.60535025
ABZ-2013-06-08,414.29756675000004
ABZ-2013-06-09,238.99824337500002
ABZ-2013-06-10,308.413300625
ABZ-2013-06-11,562.642918375
ABZ-2013-06-12,590.3138805
ABZ-2013-06-13,742.463315875
ABZ-2013-06-14,754.84951625
ABZ-2013-06-15,700.7612395
ABZ-2013-06-16,716.24889625
ABZ-2013-06-17,394.10536875
ABZ-2013-06-18,475.601083375
ABZ-2013-06-19,585.928077
ABZ-2013-06-20,376.932296375
ABZ-2013-06-21,739.14042125
ABZ-2013-06-22,634.2332574999999
ABZ-2013-06-23,874.1340575
ABZ-2013-06-24,641.8692575
ABZ-2013-06-25,742.8399675
ABZ-2013-06-26,856.6673325
ABZ-2013-06-27,515.9557046250001
ABZ-2013-06-28,697.8229445
ABZ-2013-06-29,596.2799924999999
ABZ-2013-06-30,914.146825
ABZ-2013-07-01,699.8438625
ABZ-2013-07-02,645.80589025
ABZ-2013-07-03,526.07822075
ABZ-2013-07-04,461.6245905
ABZ-2013-07-05,452.348969875
ABZ-2013-07-06,576.23963125
ABZ-2013-07-07,606.6549175
ABZ-2013-07-08,706.951081875
ABZ-2013-07-09,679.578089
ABZ-2013-07-10,658.071317375
ABZ-2013-07-11,712.7798775
ABZ-2013-07-12,770.07094125
ABZ-2013-07-13,626.940747
ABZ-2013-07-14,644.999858125
ABZ-2013-07-15,732.78918625
ABZ-2013-07-16,598.166495625
ABZ-2013-07-17,690.2310351250001
ABZ-2013-07-18,663.2883505
ABZ-2013-07-19,772.6254126250001
ABZ-2013-07-20,592.908811
ABZ-2013-07-21,601.21484875
ABZ-2013-07-22,766.929396
ABZ-2013-07-23,905.7629059374999
ABZ-2013-07-24,746.29179125
ABZ-2013-07-25,496.821737
ABZ-2013-07-26,604.704788875
ABZ-2013-07-27,617.2063635000001
ABZ-2013-07-28,475.805204375
ABZ-2013-07-29,504.2156225
ABZ-2013-07-30,990.08561
ABZ-2013-07-31,780.44420375
ABZ-2013-08-01,541.782720375
ABZ-2013-08-02,654.167888375
ABZ-2013-08-03,460.214669375
ABZ-2013-08-04,293.5610405
ABZ-2013-08-05,472.91061275
ABZ-2013-08-06,352.52677900000003
ABZ-2013-08-07,398.67665425
ABZ-2013-08-08,570.82595225
ABZ-2013-08-09,344.903565625
ABZ-2013-08-10,638.26163875
ABZ-2013-08-11,649.7072288749999
ABZ-2013-08-12,596.12624125
ABZ-2013-08-13,890.56273875
ABZ-2013-08-14,737.94722375
ABZ-2013-08-15,638.06693925
ABZ-2013-08-16,564.691933625
ABZ-2013-08-17,640.9894395
ABZ-2013-08-18,660.60657
ABZ-2013-08-19,455.19555375
ABZ-2013-08-20,685.72553
ABZ-2013-08-21,565.665508625
ABZ-2013-08-22,612.541642125
ABZ-2013-08-23,524.2904345000001
ABZ-2013-08-24,684.99258875
ABZ-2013-08-25,657.68094625
ABZ-2013-08-26,706.87277
ABZ-2013-08-27,535.9581668750001
ABZ-2013-08-28,500.35318374999997
ABZ-2013-08-29,471.5133765
ABZ-2013-08-30,573.78935
ABZ-2013-08-31,645.976595875
ABZ-2013-09-01,869.44165125
ABZ-2013-09-02,831.11300875
ABZ-2013-09-03,513.4569074999999
ABZ-2013-09-04,311.8891855
ABZ-2013-09-05,431.535881375
ABZ-2013-09-06,395.04811375
ABZ-2013-09-07,369.682756875
ABZ-2013-09-08,367.16838825
ABZ-2013-09-09,552.9885425
ABZ-2013-09-10,514.78
ABZ-2013-09-11,657.4479125
ABZ-2013-09-12,405.68691875
ABZ-2013-09-13,600.08792375
ABZ-2013-09-14,553.21512
ABZ-2013-09-15,312.683900375
ABZ-2013-09-16,671.729025
ABZ-2013-09-17,739.0141075
ABZ-2013-09-18,637.42287875
ABZ-2013-09-19,731.7869175000001
ABZ-2013-09-20,587.3503075
ABZ-2013-09-21,436.83659375
ABZ-2013-09-22,485.51570725
ABZ-2013-09-23,685.807425
ABZ-2013-09-24,610.4797062499999
ABZ-2013-09-25,197.21678025
ABZ-2013-09-26,617.426335
ABZ-2013-09-27,460.438160875
ABZ-2013-09-28,361.97217125000003
ABZ-2013-09-29,705.2861075
ABZ-2013-09-30,593.418505
ABZ-2013-10-01,526.61245075
ABZ-2013-10-02,625.47743625
ABZ-2013-10-03,482.95731624999996
ABZ-2013-10-04,227.6402555
ABZ-2013-10-05,151.685245625
ABZ-2013-10-06,204.925824875
ABZ-2013-10-07,215.20587325
ABZ-2013-10-08,237.595298375
ABZ-2013-10-09,390.110888125
ABZ-2013-10-10,483.529965
ABZ-2013-10-11,297.498182125
ABZ-2013-10-12,266.209868125
ABZ-2013-10-13,361.52470075
ABZ-2013-10-14,172.039378
ABZ-2013-10-15,457.57195075
ABZ-2013-10-16,377.89913
ABZ-2013-10-17,831.7743325
ABZ-2013-10-18,600.992051875
ABZ-2013-10-19,306.5180075
ABZ-2013-10-20,482.504385
ABZ-2013-10-21,596.8015175
ABZ-2013-10-22,175.848998875
ABZ-2013-10-23,383.59882625
ABZ-2013-10-24,456.610885375
ABZ-2013-10-25,121.62478300000001
ABZ-2013-10-26,501.70565124999996
ABZ-2013-10-27,942.1883025
ABZ-2013-10-28,1343.73024875
ABZ-2013-10-29,985.406725
ABZ-2013-10-30,709.13898625
ABZ-2013-10-31,173.959150375
ABZ-2013-11-01,258.406835
ABZ-2013-11-02,715.3126225
ABZ-2013-11-03,937.41945375
ABZ-2013-11-04,1050.6885075
ABZ-2013-11-05,627.13726125
ABZ-2013-11-06,903.30657
ABZ-2013-11-07,952.82803
ABZ-2013-11-08,465.88233375
ABZ-2013-11-09,869.91168
ABZ-2013-11-10,632.72368125
ABZ-2013-11-11,384.38033275000004
ABZ-2013-11-12,89.207395875
ABZ-2013-11-13,196.12251575
ABZ-2013-11-14,146.823529375
ABZ-2013-11-15,177.7729075
ABZ-2013-11-16,99.9773915
ABZ-2013-11-17,105.572332
ABZ-2013-11-18,292.810838
ABZ-2013-11-19,134.890565625
ABZ-2013-11-20,275.04243375
ABZ-2013-11-21,329.20464125
ABZ-2013-11-22,376.655195
ABZ-2013-11-23,381.360775
ABZ-2013-11-24,639.35980375
ABZ-2013-11-25,666.65016625
ABZ-2013-11-26,495.7839325
ABZ-2013-11-27,204.484446625
ABZ-2013-11-28,532.8084775
ABZ-2013-11-29,683.1447774999999
ABZ-2013-11-30,572.40765625
ABZ-2013-12-01,446.447085
ABZ-2013-12-02,234.051307125
ABZ-2013-12-03,70.91093725
ABZ-2013-12-04,375.5487495
ABZ-2013-12-05,811.7960625
ABZ-2013-12-06,1676.9220125
ABZ-2013-12-07,1102.35521125
ABZ-2013-12-08,674.218245
ABZ-2013-12-09,708.38998875
ABZ-2013-12-10,96.237865625
ABZ-2013-12-11,96.716884875
ABZ-2013-12-12,72.88465325
ABZ-2013-12-13,98.509851625
ABZ-2013-12-14,301.42299875000003
ABZ-2013-12-15,342.44356
ABZ-2013-12-16,204.41230624999997
ABZ-2013-12-17,133.5420975
ABZ-2013-12-18,105.876614875
ABZ-2013-12-19,242.625028
ABZ-2013-12-20,304.352798375
ABZ-2013-12-21,364.839025
ABZ-2013-12-22,831.05947125
ABZ-2013-12-23,756.25678875
ABZ-2013-12-24,227.5019825
ABZ-2013-12-25,95.401172375
ABZ-2013-12-26,115.983977625
ABZ-2013-12-27,471.81934125
ABZ-2013-12-28,209.9962745
